,realtime_start,realtime_end,observation_start,observation_end,units,output_type,file_type,order_by,sort_order,count,offset,limit,observations
83,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1953-12-01', 'value': '26.87'}"
84,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1954-01-01', 'value': '26.94'}"
85,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1954-02-01', 'value': '26.99'}"
86,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1954-03-01', 'value': '26.93'}"
87,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1954-04-01', 'value': '26.86'}"
88,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1954-05-01', 'value': '26.93'}"
89,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1954-06-01', 'value': '26.94'}"
90,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1954-07-01', 'value': '26.86'}"
91,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1954-08-01', 'value': '26.85'}"
92,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1954-09-01', 'value': '26.81'}"
93,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1954-10-01', 'value': '26.72'}"
94,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1954-11-01', 'value': '26.78'}"
95,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1954-12-01', 'value': '26.77'}"
96,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1955-01-01', 'value': '26.77'}"
97,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1955-02-01', 'value': '26.82'}"
98,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1955-03-01', 'value': '26.79'}"
99,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1955-04-01', 'value': '26.79'}"
100,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1955-05-01', 'value': '26.77'}"
101,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1955-06-01', 'value': '26.71'}"
102,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1955-07-01', 'value': '26.76'}"
103,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1955-08-01', 'value': '26.72'}"
104,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1955-09-01', 'value': '26.85'}"
105,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1955-10-01', 'value': '26.82'}"
106,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1955-11-01', 'value': '26.88'}"
107,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1955-12-01', 'value': '26.87'}"
108,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1956-01-01', 'value': '26.83'}"
109,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1956-02-01', 'value': '26.86'}"
110,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1956-03-01', 'value': '26.89'}"
111,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1956-04-01', 'value': '26.93'}"
112,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1956-05-01', 'value': '27.03'}"
113,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1956-06-01', 'value': '27.15'}"
114,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1956-07-01', 'value': '27.29'}"
115,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1956-08-01', 'value': '27.31'}"
116,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1956-09-01', 'value': '27.35'}"
117,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1956-10-01', 'value': '27.51'}"
118,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1956-11-01', 'value': '27.51'}"
119,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1956-12-01', 'value': '27.63'}"
120,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1957-01-01', 'value': '27.67'}"
121,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1957-02-01', 'value': '27.8'}"
122,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1957-03-01', 'value': '27.86'}"
123,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1957-04-01', 'value': '27.93'}"
124,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,1103,0,100000,"{'realtime_start': '2021-01-01', 'realtime_end': '2023-12-31', 'date': '1957-05-01', 'value': '28.0'}"
